Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,7/20/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Bosnia and Herzegovina,BIH,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.624072153,2.416656871,1.996645883,1.543919077,1.386327224,1.236336584,1.221333125,1.377619015,1.281273953,1.137368298,1.146868893,1.088505683,1.027868847,1.002948268,0.993439096
Belarus,BLR,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.622498648,2.790971461,3.621608255,1.699469369,1.260691246,1.768966069,1.49509849,1.366759067,1.34698592,1.438287564,1.400244086,1.29906358,1.358222749,1.498453135,1.709412492,1.649765914,1.453492852,1.372576981,1.341383433,1.22449511,1.243904724,1.285766194,1.282562997,1.281840102,1.272563808
Belize,BLZ,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,1.077890098,1.437587169,1.534259259,1.543918919,1.560124313,,,,1.199332232,1.154521244,1.064235253,1.021174396,1.09498699,1.359936075,1.298556746,1.24198257,1.435854188,,,0.855229013,0.855029176,0.839624896,0.863534843,0.896742483,0.961294716,1.008900565,1.066121075,1.367630684,1.291554947,1.097781286,1.03693566,0.967141819,1.101741993,1.055817266,1.094454671,1.169015731
Bermuda,BMU,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,0.799045135,0.769323887,0.880677003,,,,,1.274446947,1.270413621,1.65037384,1.448151685,1.646022855,1.672908205,1.893424042,2.424606952,2.444143613,2.269737439,2.598900978,2.708160838,3.504320903,4.051790127,2.21173087,1.659214198,2.34510444,2.440045218,2.345549537,2.377263709,2.02098132,2.156304667,2.815876755,2.688320923,2.50611815,1.916352239,2.250297814,2.096164014,1.986805055,2.273612157,2.691109365,2.133288202,2.062971519,2.264905361,2.029450836,2.145790846,1.924981795,1.772542641,1.567656204,1.686580784,1.962272052,1.994105732,1.666248802,1.684120001,1.845594672,1.840906753,1.896840612,1.743839017,1.675155507
Brazil,BRA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,3.00801578,2.68055462,2.315014823,2.287700985,1.990657182,3.455838419,3.158328317,2.90305156,2.654676712,2.595529939,2.887064715,2.601275325,2.431605989,2.271723085,2.027271825,2.06067642,2.009239135,1.689396211,1.595399444,1.497309065,1.144593977,1.137463498,1.281330046,1.219720999,1.146748373,1.43415234,1.224119395,1.749656204,2.118960459,2.524698874,2.363883077,1.954019175,1.521626663,1.927770437,1.97308864,1.82250671,1.654844676,1.57768864,1.662291952,1.645473844,1.730724806,1.951881656,1.895770251,1.503477107,1.461269314,1.524013814,1.481084895,1.466292046,1.441924135,1.538625861,1.539406981,1.411851159,1.378656465,1.329446084,1.330244653,1.364428258,1.317941341
Barbados,BRB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,2.574084402,2.88778814,4.670729808,3.792514955,6.6299771,6.234373063,6.566368908,6.630179828,6.016140866,5.697919807,6.407176037,6.035767511,6.418965756,7.101205132,7.256637168,5.61754521,4.069210092,3.886214044,3.870758675,3.711424264,2.532726738,2.608095406,2.558186746,2.638350895,2.514964776,3.258857366,2.850454789,2.242200575,2.158971558,2.277485755,3.082392256,3.279291821,3.539384699
Bhutan,BTN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,1.251150559,2.423049392,2.970667465,3.001637257,2.902058987,2.320463136,2.086168682,2.104217746,1.883589901,2.463793038,3.756629792,3.544915009,3.33348086,4.122030245,4.369130885,4.29248734,4.463109003,4.001495461,3.506409083,2.899490534,3.197192243,3.779391425,3.092100594,3.191233589,3.831250643,4.110224895,4.007360569,3.505881777,2.858011393,2.695116768,2.801452656,3.036968181,3.21559211,2.726856782,2.316701525,2.225722963,2.056395543,2.130859642,2.662869655,3.371000723
