Country,,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Mauritius,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,0.3,0.3,0.4,0.5,0.5,0.6,0.8,1.1,1.3,1.4,1.8,2.5,5.5,5.3,2.8,2.9,2.6,2.4,2.9,3.6,4.7,6.3,9.2,10.5,11.4,10.8,11.9,13.4,13.0,9.8,8.5,9.0,9.4,9.0,9.5,10.9,10.9,10.9,10.8,11.6,15.6,15.3,14.9,17.5,16.7,23.2,19.7,21.1,23.0
Mozambique,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,. .,. .,39.1,76.3,78.0,92.3,99.3,103,116,137,148,171,83.6,63.9,79.1,84.6,71.8,59.6,59.4,72.9,33.5,36.0,42.0,49.3,56.5,55.4,50.6,53.5,59.8,77.6,62.2,57.4,68.6,83.7,84.3,99.2,119,139,158,174,147,112
Namibia,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,. .,145,125,70.2,57.0,68.2,66.5,83.7,78.9,106,92.4,96.8,88.0,129,167,192,200,228,266,300,397,444,412,390,537,540,456
Niger,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,7.3,8.2,11.0,14.8,17.5,17.0,14.0,12.8,12.4,10.6,10.9,14.4,13.7,. .,. .,. .,. .,. .,. .,17.5,18.4,17.4,17.3,22.0,23.6,20.1,24.8,20.7,24.6,31.6,32.8,. .,. .,53.6,53.0,66.9,83.9,148.9,106.1,. .,. .,166
Nigeria,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,23.4,28.3,38.6,45.5,54.3,65.9,55.7,240,369,684,662,639,904,1020,1351,3029,2644,3138,3023,3071,3030,2135,1652,1627,1211,1092,517,202,271,171,277,244,174,289,320,639,701,819,1150,492,369,571,897,587,640,674,776,971,1616,1504,1990,2385,2316,2419,2358,2066,1723
Rwanda,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,9.4,7.8,9.3,10.3,16.1,14.4,19.6,23.6,28.7,28.2,28.0,25.5,27.3,34.9,36.1,36.6,41.6,95.1,105,88.6,89.4,40.5,56.4,74,77.3,87.1,80.9,61.3,56.9,51.1,45.2,41.2,45.0,54.6,55.6,67.7,75.3,74.5,75.4,79.8,82.5,90.9,103.6,101
Senegal,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,94.4,96.5,86.8,73.1,70.6,65.1,65.0,85.5,100,105,100,118,110,110,120,66.1,80.9,79.8,70.8,75.1,78.3,62.4,68.9,74.4,96.9,108,124,149,193,217,215,196,230,197,237,240,215,254
Seychelles,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,. .,. .,. .,. .,. .,. .,. .,. .,. .,7.2,9.8,11.3,12.1,13.0,14.8,16.6,20.5,12.9,11.9,11.6,10.5,11.4,10.5,11.1,10.3,11.1,11.7,12.2,15.9,14.7,14.4,15.2,11.1,8.7,7.2,8.7,9.9,13.8,30.9,17.4,18.4
Sierra Leone,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,1.9,2.0,2.2,2.4,2.5,2.5,2.9,2.7,3.3,4.0,3.8,4.2,5.0,6.8,6.5,6.0,7.1,8.1,10.8,15.9,15.8,14.1,10.2,9.9,6.3,7.2,4.6,9.0,14.4,12.4,23.2,26.7,23.3,26.5,25.0,18.6,9.5,. .,. .,23.3,29.9,27.1,28.5,23.0,23.6,28.0,29.1,23.6,26.4,25.1,25.5,29.8,31.7,48.8,39.2,26.8
Somalia,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,. .,3.2,3.7,4.5,5.4,5.2,6.5,7.5,8.3,9.0,11.2,11.4,13.2,16.1,21.4,23.1,26.3,31.7,81.4,87.7,95.5,134,83.9,83.9,89.2,44.3,34.9,28.5,49.5,8.6,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
South Africa,,. .,. .,64.7,74.5,65.8,63.0,67.2,77.0,81.9,63.7,60.5,70.0,114,186,189,272,289,324,373,400,426,418,486,492,753,1102,1432,1677,2074,2068,2161,2662,3012,2745,3053,2770,2117,2498,3596,4263,4182,4364,3874,3677,3254,3479,3292,2592,2414,1906,1738,1892,1802,1766,2574,3099,3567,3506,3526,3286,3593,4188,4594,4490,4118,3893,3460,3160
South Sudan,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,551,588,896,610,651,1053,988,982,1302,1152,138
Sudan,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,0.10,14.1,14.4,16.6,18.7,20.5,24.8,28.1,41.9,56.4,50.3,52.3,57.7,87.0,108,110,108,113,111,119,179,217,176,240,228,204,172,231,355,205,260,310,369,. .,1178,1366,184,258,226,139,106,98,260,430,587,388,485,398,1241,1165,1648,2427,3228,3180,. .,. .,. .,. .,. .,2280,2723
Swaziland,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,. .,. .,. .,. .,. .,. .,. .,. .,. .,5.4,8.3,10.2,13.1,12.4,11.1,11.7,9.1,6.6,7.3,8.3,8.7,8.7,14.2,16.0,21.0,23.7,25.8,28.8,26.5,25.7,25.7,25.9,24.5,19.7,18.3,31.9,42.7,59.5,58.5,61.9,66.7,75.9,102.0,106.6,90.6,86.0,81.4,73.5,67.3
Tanzania,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,. .,. .,. .,. .,. .,. .,14.6,16.2,20.1,29.5,42.6,53.7,77.9,120,138,137,191,422,375,232,331,367,333,293,346,261,162,125,105,87,108,97,59,58,86,101,119,134,128,135,151,141,125,128,139,147,166,194,219,283,307,360,443,507,517,544
Togo,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,. .,0.3,0.7,1.1,3.4,3.4,2.9,3.1,3.3,3.4,3.7,4.2,5.1,6.9,8.1,11.1,14.2,21.1,22.7,22.5,24.8,22.5,18.5,16.4,15.7,18.9,30.0,43.4,43.1,41.9,50.7,45.9,49.1,50.1,25.4,30.9,. .,. .,. .,. .,. .,. .,. .,28.8,31.7,33.2,. .,. .,57.0,55.1,56.8,59.0,62.9,72.4,83.1,70.0,82.0
Uganda,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,0.73,2.7,5.5,10.7,14.3,16.8,19.9,22.9,26.6,52.7,64.9,64.9,80.2,86.6,101,132,152,207,399,108,87.5,93.7,75.2,105,131,131,141,140,107,73.6,52.3,62.6,104,127,135,140,155,160,141,136,142,152,196,217,219,252,312,294,609,643,429,433,465,389,403
Zambia,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,81.6,53.2,61.6,66.9,86.7,168,139,86.2,97.8,51.1,62.9,55.3,37.8,43.4,. .,56.1,. .,. .,. .,. .,98.3,140,206,232,278,221,280,309,346,381,444,372,300
Zimbabwe,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,15.6,17.0,19.0,30.6,42.4,46.0,49.9,58.5,86.9,118.6,148.6,199.8,285.4,347.8,441.2,443,390,437,432,361,309,342,393,407,409,416,376,296,250,248,263,292,311,306,263,346,287,677,195,256,131,162,. .,. .,. .,98,198,318,357,368,377,358
